Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Ishares core s&p 500 etf,IVV,"",332761.0,99336000.0,41.2328,40.9697,1,0.0,0.0,,No Data,Q4 2018,FINANCE,13F,09/30/2019,251.61
Ishares core msci emerging markets etf,IEMG,"",469715.0,23025000.0,9.5573,10.0928,2,0.0,0.0,,No Data,Q4 2018,FINANCE,13F,09/30/2019,47.15
Apple inc,AAPL,"",22686.0,5081000.0,2.109,1.9829,3,-1300.0,-5.419828,reduction,0.0005020,Q4 2018,INFORMATION TECHNOLOGY,13F,09/30/2019,157.74
Microsoft corp.,MSFT,"",29490.0,4100000.0,1.7018,1.65,4,0.0,0.0,,0.0003862,Q4 2018,INFORMATION TECHNOLOGY,13F,09/30/2019,102.9022
Procter & gamble co. (oh) (1905),PG,"",27542.0,3426000.0,1.4221,1.3668,5,-2300.0,-7.707258,reduction,0.0011005,Q4 2018,CONSUMER STAPLES,13F,09/30/2019,91.92
Verizon communications,VZ,"",52599.0,3175000.0,1.3179,1.2243,6,1300.0,2.534162,addition,0.0012718,Q4 2018,UTILITIES AND TELECOMMUNICATIONS,13F,09/30/2019,56.3223
Target corp.,TGT,"",28753.0,3074000.0,1.276,1.2247,7,-5100.0,-15.065135,reduction,0.0056276,Q4 2018,CONSUMER DISCRETIONARY,13F,09/30/2019,67.8391
Amgen  inc.,AMGN,"",15022.0,2907000.0,1.2066,1.1717,8,-200.0,-1.313888,reduction,0.0025049,Q4 2018,HEALTH CARE,13F,09/30/2019,194.1922
Darden restaurants inc,DRI,"",23984.0,2835000.0,1.1768,1.2247,9,-100.0,-0.415213,reduction,0.0195628,Q4 2018,CONSUMER DISCRETIONARY,13F,09/30/2019,99.86
Infosys ltd adr,INFY,"",233230.0,2652000.0,1.1008,1.1019,10,-13300.0,-5.394881,reduction,0.0054603,Q4 2018,INFORMATION TECHNOLOGY,13F,09/30/2019,9.5642
Tyson foods  inc.,TSN,"",30386.0,2617000.0,1.0863,1.079,11,-1600.0,-5.002188,reduction,0.0083320,Q4 2018,CONSUMER STAPLES,13F,09/30/2019,53.4
Intel corp.,INTC,"",49881.0,2570000.0,1.0668,1.0965,12,-4950.0,-9.02774,reduction,0.0011260,Q4 2018,INFORMATION TECHNOLOGY,13F,09/30/2019,46.965
Waste management  inc.,WM,"",21306.0,2450000.0,1.017,0.9474,13,1650.0,8.394383,addition,0.0050223,Q4 2018,INDUSTRIALS,13F,09/30/2019,91.0043
Amazon.com inc.,AMZN,"",1395.0,2422000.0,1.0053,1.1036,14,0.0,0.0,,0.0002820,Q4 2018,CONSUMER DISCRETIONARY,13F,09/30/2019,1501.97
Anthem inc,ANTM,"",9878.0,2372000.0,0.9846,0.9758,15,1600.0,19.32834,addition,0.0038613,Q4 2018,HEALTH CARE,13F,09/30/2019,258.9807
Check point software technologies ltd,CHKP,"",20535.0,2249000.0,0.9335,0.9967,16,-100.0,-0.484614,reduction,0.0134886,Q4 2018,INFORMATION TECHNOLOGY,13F,09/30/2019,102.65
Loews corp,L,"",42515.0,2189000.0,0.9086,0.9687,17,100.0,0.235766,addition,0.0140601,Q4 2018,FINANCE,13F,09/30/2019,45.7193
Block (h&r) inc.,HRB,"",91672.0,2165000.0,0.8987,1.127,18,-400.0,-0.434443,reduction,0.0456716,Q4 2018,CONSUMER DISCRETIONARY,13F,09/30/2019,25.37
Visa inc,V,"",12545.0,2158000.0,0.8958,0.8404,19,950.0,8.193187,addition,0.0006323,Q4 2018,FINANCE,13F,09/30/2019,137.0744
Hershey company (the),HSY,"",13276.0,2058000.0,0.8542,0.5948,20,2650.0,24.938829,addition,0.0063346,Q4 2018,CONSUMER STAPLES,13F,09/30/2019,119.6822
Alphabet inc. class c,GOOG,"",1686.0,2055000.0,0.853,0.6696,21,203.0,13.688469,addition,0.0002431,Q4 2018,COMMUNICATIONS,13F,09/30/2019,1075.9854
Republic services inc.,RSG,"",23717.0,2053000.0,0.8522,0.8622,22,-100.0,-0.419868,reduction,0.0073942,Q4 2018,INDUSTRIALS,13F,09/30/2019,72.09
Green plains inc,GPRE,"",191534.0,2029000.0,0.8422,0.8626,23,0.0,0.0,,0.5015292,Q2 2015,ENERGY,13F,09/30/2019,27.55
Dollar general corp.,DG,"",12187.0,1937000.0,0.804,0.688,24,0.0,0.0,,0.0047407,Q4 2018,CONSUMER DISCRETIONARY,13F,09/30/2019,108.08
Pepsico inc. (loft  inc.),PEP,"",13905.0,1906000.0,0.7912,0.7615,25,0.0,0.0,,0.0009972,Q4 2018,CONSUMER STAPLES,13F,09/30/2019,110.48
Facebook inc,FB,"",10650.0,1897000.0,0.7874,0.7055,26,1900.0,21.714286,addition,0.0003733,Q4 2018,COMMUNICATIONS,13F,09/30/2019,158.0253
Foot locker inc. (f. w. woolworth),FL,"",43257.0,1867000.0,0.775,0.7611,27,-200.0,-0.460225,reduction,0.0404120,Q4 2018,CONSUMER DISCRETIONARY,13F,09/30/2019,53.2
