Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Hershey co. class b,HSYFB,"",60612012.0,9394256000.0,99.3317,99.1254,1,0.0,0.0,,N/A,Q4 2007,INDUSTRIALS,13F,09/30/2019,
Alerian mlp etf,AMLP,"",5093663.0,46556000.0,0.4923,0.6122,2,0.0,0.0,,No Data,Q2 2019,FINANCE,13F,09/30/2019,9.85
Hershey company (the),HSY,"",47170.0,7311000.0,0.0773,0.0771,3,0.0,0.0,,0.0225069,Q4 2007,CONSUMER STAPLES,13F,09/30/2019,36.3372
Guardant health inc,GH,"",38096.0,2432000.0,0.0257,,4,38096.0,,new,0.0409767,Q3 2019,HEALTH CARE,13F,09/30/2019,63.83
Mongodb inc,MDB,"",17866.0,2152000.0,0.0228,0.0332,5,0.0,0.0,,0.0317223,Q2 2019,INFORMATION TECHNOLOGY,13F,09/30/2019,152.09
Momo inc adr,MOMO,"",34806.0,1078000.0,0.0114,0.012,6,7413.0,27.061658,addition,0.0167635,Q1 2017,INFORMATION TECHNOLOGY,13F,09/30/2019,38.7041
Ppdai group inc,PPDF,"",355507.0,1031000.0,0.0109,0.0189,7,0.0,0.0,,0.1182619,Q2 2018,FINANCE,13F,09/30/2019,4.8687
Eagle pharmaceuticals inc,EGRX,"",15097.0,854000.0,0.009,0.0103,8,0.0,0.0,,0.1104389,Q2 2017,HEALTH CARE,13F,09/30/2019,78.89
Jumei international holding ltd adr,JMEI,"",116246.0,246000.0,0.0026,0.0035,9,0.0,0.0,,0.0775594,Q4 2017,CONSUMER DISCRETIONARY,13F,09/30/2019,2.7225
Noah holdings ltd adr,NOAH,"",7853.0,229000.0,0.0024,0.0041,10,0.0,0.0,,0.0128191,Q2 2017,FINANCE,13F,09/30/2019,52.15
Ichor holdings ltd,ICHR,"",9043.0,219000.0,0.0023,0.0026,11,0.0,0.0,,0.0402806,Q4 2017,INFORMATION TECHNOLOGY,13F,09/30/2019,24.405
Spotify technology sa,SPOT,"",1769.0,202000.0,0.0021,0.0032,12,0.0,0.0,,0.0009781,Q2 2018,COMMUNICATIONS,13F,09/30/2019,168.7168
Natera inc,NTRA,"",5914.0,194000.0,0.0021,,13,5914.0,,new,0.0084329,Q3 2019,HEALTH CARE,13F,09/30/2019,32.8
Zai lab ltd,ZLAB,"",4581.0,148000.0,0.0016,,14,4581.0,,new,No Data,Q3 2019,HEALTH CARE,13F,09/30/2019,32.35
Nio inc,NIO,"",85968.0,134000.0,0.0014,0.0027,15,0.0,0.0,,0.0083789,Q1 2019,CONSUMER DISCRETIONARY,13F,09/30/2019,5.1
National vision holdings inc,EYE,"",5039.0,121000.0,0.0013,0.0019,16,0.0,0.0,,0.0064167,Q1 2019,CONSUMER DISCRETIONARY,13F,09/30/2019,31.43
Huami corp,HMI,"",11021.0,110000.0,0.0012,0.0013,17,0.0,0.0,,0.0185445,Q1 2019,CONSUMER DISCRETIONARY,13F,09/30/2019,13.09
Crinetics pharmaceuticals inc,CRNX,"",6753.0,102000.0,0.0011,0.0021,18,0.0,0.0,,0.0279050,Q1 2019,HEALTH CARE,13F,09/30/2019,22.76
Viomi technology co ltd,VIOT,"",9416.0,77000.0,0.0008,0.0009,19,0.0,0.0,,0.0135932,Q2 2019,CONSUMER STAPLES,13F,09/30/2019,8.11
Mogu inc,MOGU,"",2056.0,5000.0,0.0001,,20,2056.0,,new,0.0021695,Q3 2019,CONSUMER DISCRETIONARY,13F,09/30/2019,2.515
Marathon oil corp. (1901) (old u.s. steel),MRO,"",134.0,2000.0,0.0,0.0,21,0.0,0.0,,0.0000167,Q4 2014,ENERGY,13F,09/30/2019,28.29
Square inc,SQ,"",0.0,0.0,,0.0307,"",-34724.0,-100.0,soldall,0.0000000,Q4 2018,FINANCE,13F,09/30/2019,62.3668
Docusign inc,DOCU,"",0.0,0.0,,0.0564,"",-93065.0,-100.0,soldall,0.0000000,Q4 2018,INFORMATION TECHNOLOGY,13F,09/30/2019,40.4034
Sunrun inc,RUN,"",0.0,0.0,,0.0015,"",-6740.0,-100.0,soldall,0.0000000,Q2 2019,ENERGY,13F,09/30/2019,18.76
