Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Invesco qqq trust series 1,QQQ,CALL,130000.0,24545000.0,11.4883,8.0909,1,-55000.0,-29.72973,reduction,No Data,Q2 2015,FINANCE,13F,09/30/2019,
Ishares russell 2000 etf,IWM,CALL,152500.0,23079000.0,10.8021,2.4401,2,85500.0,127.61194,addition,No Data,Q3 2018,FINANCE,13F,09/30/2019,
Spdr s&p 500 etf trust,SPY,CALL,62500.0,18548000.0,8.6814,16.469,3,-177500.0,-73.958333,reduction,No Data,Q2 2015,FINANCE,13F,09/30/2019,
Alibaba group holding ltd adr,BABA,CALL,60000.0,10034000.0,4.6964,1.4286,4,24000.0,66.666667,addition,N/A,Q4 2018,COMMUNICATIONS,13F,09/30/2019,
Tesla inc,TSLA,CALL,35500.0,8551000.0,4.0023,0.942,5,17500.0,97.222222,addition,N/A,Q4 2014,CONSUMER DISCRETIONARY,13F,09/30/2019,
Pinduoduo inc,PDD,CALL,211800.0,6824000.0,3.194,0.1932,6,171800.0,429.5,addition,N/A,Q3 2018,CONSUMER DISCRETIONARY,13F,09/30/2019,
Facebook inc,FB,CALL,25000.0,4452000.0,2.0838,,7,25000.0,,new,N/A,Q3 2019,COMMUNICATIONS,13F,09/30/2019,
Spdr s&p 500 etf trust,SPY,PUT,15000.0,4452000.0,2.0838,16.1259,8,-220000.0,-93.617021,reduction,No Data,Q3 2012,FINANCE,13F,09/30/2019,
Netflix inc,NFLX,CALL,15000.0,4014000.0,1.8787,3.4411,9,-25000.0,-62.5,reduction,N/A,Q3 2018,COMMUNICATIONS,13F,09/30/2019,
Paypal holdings inc,PYPL,CALL,35000.0,3626000.0,1.6971,,10,35000.0,,new,N/A,Q1 2016,COMMUNICATIONS,13F,09/30/2019,
Marvell technology group ltd,MRVL,CALL,145000.0,3621000.0,1.6948,1.0286,11,-39000.0,-21.195652,reduction,N/A,Q3 2018,INFORMATION TECHNOLOGY,13F,09/30/2019,
Ishares 20+ year treasury bond etf,TLT,PUT,25000.0,3577000.0,1.6742,1.5553,12,-25000.0,-50.0,reduction,No Data,Q1 2019,FINANCE,13F,09/30/2019,
Zillow group inc class c,Z,CALL,118000.0,3519000.0,1.6471,2.0359,13,-69400.0,-37.033084,reduction,No Data,Q1 2016,COMMUNICATIONS,13F,09/30/2019,
Lattice semconductor corp.,LSCC,CALL,190200.0,3478000.0,1.6279,,14,190200.0,,new,N/A,Q3 2019,INFORMATION TECHNOLOGY,13F,09/30/2019,
Spdr s&p utilities etf,XLU,PUT,50000.0,3237000.0,1.5151,,15,50000.0,,new,No Data,Q3 2019,UTILITIES AND TELECOMMUNICATIONS,13F,09/30/2019,
