Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Microsoft corp.,MSFT,"",15280500.0,2124448000.0,11.2434,11.083,1,0.0,0.0,,0.2001268,Q4 2016,INFORMATION TECHNOLOGY,13F,09/30/2019,82.3216
Facebook inc,FB,"",11221100.0,1998253000.0,10.5755,9.3787,2,2246000.0,25.024791,addition,0.3933157,Q4 2016,COMMUNICATIONS,13F,09/30/2019,165.4891
Jd.com inc adr,JD,"",52850366.0,1490909000.0,7.89047,8.6675,3,0.0,0.0,,3.6226919,Q4 2014,CONSUMER DISCRETIONARY,13F,09/30/2019,29.1694
Apollo glbl management llc,APO,"",37663500.0,1424434000.0,7.53865,6.9946,4,0.0,0.0,,18.7576573,Q1 2017,FINANCE,13F,09/30/2019,25.1339
Alibaba group holding ltd adr,BABA,"",7780262.0,1301093000.0,6.88589,3.9719,5,3451017.0,79.714061,addition,0.3057798,Q3 2016,COMMUNICATIONS,13F,09/30/2019,149.9867
Amazon.com inc.,AMZN,"",704112.0,1222275000.0,6.46875,7.2191,6,0.0,0.0,,0.1423426,Q2 2015,CONSUMER DISCRETIONARY,13F,09/30/2019,694.1315
Transdigm group inc,TDG,"",2066000.0,1075704000.0,5.69304,5.4118,7,0.0,0.0,,3.8703634,Q4 2016,INDUSTRIALS,13F,09/30/2019,269.6573
Fiat chrysler automobiles n.v.,FCAU,"",75173950.0,973503000.0,5.15215,7.0523,8,-19074778.0,-20.238764,reduction,No Data,Q4 2016,CONSUMER DISCRETIONARY,13F,09/30/2019,14.9401
Netflix inc,NFLX,"",2146813.0,574530000.0,3.04063,4.2696,9,0.0,0.0,,0.4903191,Q1 2017,COMMUNICATIONS,13F,09/30/2019,248.5228
Fleetcor technologies inc,FLT,"",1727100.0,495298000.0,2.62131,2.6263,10,0.0,0.0,,1.9950329,Q4 2012,INFORMATION TECHNOLOGY,13F,09/30/2019,151.0477
Sunrun inc,RUN,"",29773257.0,491854205.64,2.60308,2.5395,11,1059257.0,3.688991,addition,25.3152428,,ENERGY,13D,10/07/2019,
Spotify technology sa,SPOT,"",4062379.0,463111000.0,2.45096,3.2943,12,-98756.0,-2.373295,reduction,2.2461456,Q2 2018,COMMUNICATIONS,13F,09/30/2019,168.2309
Sea ltd adr,SE,"",13598500.0,420874000.0,2.22743,2.4459,13,0.0,0.0,,4.1580541,Q1 2018,INFORMATION TECHNOLOGY,13F,09/30/2019,14.6643
Ringcentral inc,RNG,"",3263000.0,410029000.0,2.17003,1.8685,14,260000.0,8.658009,addition,3.9327468,Q1 2019,UTILITIES AND TELECOMMUNICATIONS,13F,09/30/2019,112.8185
Salesforce.com inc.,CRM,"",2407739.0,357405000.0,1.89153,1.8786,15,121000.0,5.291378,addition,0.2745426,Q4 2017,INFORMATION TECHNOLOGY,13F,09/30/2019,114.5028
Carvana co,CVNA,"",4912907.0,324252000.0,1.71607,0.9593,16,2082138.0,73.553794,addition,3.2503520,Q1 2019,CONSUMER DISCRETIONARY,13F,09/30/2019,62.1449
Tal education group american depositary adr,TAL,"",9424023.0,322679000.0,1.70774,1.9441,17,0.0,0.0,,1.6624664,Q4 2015,CONSUMER DISCRETIONARY,13F,09/30/2019,15.4153
New oriental education & tech group inc adr,EDU,"",2353600.0,260685000.0,1.37965,1.2307,18,0.0,0.0,,1.6507224,Q4 2016,CONSUMER DISCRETIONARY,13F,09/30/2019,59.2748
Gds holdings ltd adr,GDS,"",5730659.0,229685000.0,1.21558,1.1657,19,0.0,0.0,,4.8800639,Q2 2019,COMMUNICATIONS,13F,09/30/2019,37.57
Zendesk inc,ZEN,"",2947000.0,214777000.0,1.13668,1.3025,20,245000.0,9.067358,addition,2.6554334,Q3 2018,INFORMATION TECHNOLOGY,13F,09/30/2019,69.6035
Mercadolibre inc,MELI,"",389500.0,214704000.0,1.1363,1.2902,21,0.0,0.0,,0.7835446,Q1 2018,COMMUNICATIONS,13F,09/30/2019,329.6861
Uber technologies inc,UBER,"",6664323.0,203062000.0,1.07468,1.6735,22,0.0,0.0,,0.3920190,Q2 2019,CONSUMER DISCRETIONARY,13F,09/30/2019,46.38
Servicenow inc,NOW,"",799600.0,202978000.0,1.07424,1.1887,23,0.0,0.0,,0.4264533,Q3 2017,INFORMATION TECHNOLOGY,13F,09/30/2019,163.2228
Adobe systems  inc.,ADBE,"",714000.0,197243000.0,1.04389,1.1391,24,0.0,0.0,,0.1474963,Q2 2018,INFORMATION TECHNOLOGY,13F,09/30/2019,241.1162
New relic inc,NEWR,"",2920000.0,179434000.0,0.949634,,25,2920000.0,,new,4.9991440,Q3 2019,INFORMATION TECHNOLOGY,13F,09/30/2019,61.45
Smartsheet inc,SMAR,"",4418474.0,159198000.0,0.842537,0.5909,26,2163474.0,95.941197,addition,3.7904040,Q1 2019,INFORMATION TECHNOLOGY,13F,09/30/2019,41.947
Mastercard inc,MA,"",549932.0,149164000.0,0.789433,0.7876,27,0.0,0.0,,0.0542040,Q4 2007,FINANCE,13F,09/30/2019,52.9083
Twilio inc,TWLO,"",1079000.0,118647000.0,0.627926,0.7966,28,0.0,0.0,,0.7940246,Q3 2018,INFORMATION TECHNOLOGY,13F,09/30/2019,129.3727
Despegar.com corp,DESP,"",9256550.0,104784000.0,0.554557,0.6961,29,0.0,0.0,,13.3842539,Q3 2017,COMMUNICATIONS,13F,09/30/2019,32.0
Mongodb inc,MDB,"",868955.0,104692000.0,0.55407,0.3269,30,471955.0,118.880353,addition,1.5428888,Q4 2017,INFORMATION TECHNOLOGY,13F,09/30/2019,133.5663
8x8 inc,EGHT,"",4730000.0,98006000.0,0.518686,0.6172,31,0.0,0.0,,4.7638231,Q1 2019,INFORMATION TECHNOLOGY,13F,09/30/2019,20.2
Zoom video communications inc,ZM,"",1200000.0,91440000.0,0.483936,0.5769,32,0.0,0.0,,0.4386767,Q2 2019,INFORMATION TECHNOLOGY,13F,09/30/2019,88.79
Atlassian corp plc,TEAM,"",606001.0,76017000.0,0.402311,0.3683,33,86095.0,16.559724,addition,0.5127346,Q4 2015,INFORMATION TECHNOLOGY,13F,09/30/2019,46.9377
Pinduoduo inc,PDD,"",2172470.0,69997000.0,0.370451,0.1215,34,1084470.0,99.675551,addition,0.1950293,Q3 2018,CONSUMER DISCRETIONARY,13F,09/30/2019,29.2502
Elastic nv,ESTC,"",738000.0,60767000.0,0.321602,0.2983,35,0.0,0.0,,0.9455477,Q4 2018,INFORMATION TECHNOLOGY,13F,09/30/2019,71.48
Wayfair inc class a,W,"",510000.0,57181000.0,0.302624,,36,510000.0,,new,0.5523067,Q3 2019,CONSUMER DISCRETIONARY,13F,09/30/2019,112.12
Anaplan inc,PLAN,"",1207000.0,56729000.0,0.300232,,37,1207000.0,,new,0.9155731,Q3 2019,INFORMATION TECHNOLOGY,13F,09/30/2019,47.0
Stoneco ltd,STNE,"",1451729.0,50491000.0,0.267218,0.3132,38,-503895.0,-25.766456,reduction,0.5239575,Q4 2018,FINANCE,13F,09/30/2019,18.44
Svmk inc,SVMK,"",2306271.0,39437000.0,0.208716,1.2143,39,-11278013.0,-83.022506,reduction,1.7329959,Q3 2018,INFORMATION TECHNOLOGY,13F,09/30/2019,16.03
Switch inc,SWCH,"",2470000.0,38581000.0,0.204186,0.1751,40,0.0,0.0,,1.0078753,Q4 2017,COMMUNICATIONS,13F,09/30/2019,13.4927
Tencent music entertainment group,TME,"",2700000.0,34479000.0,0.182476,0.2191,41,0.0,0.0,,0.1653409,Q4 2018,INFORMATION TECHNOLOGY,13F,09/30/2019,13.22
Slack technologies inc,WORK,"",1201063.0,28501000.0,0.150838,,42,1201063.0,,new,0.2207471,Q3 2019,INFORMATION TECHNOLOGY,13F,09/30/2019,23.73
Visa inc,V,"",163000.0,28038000.0,0.148388,0.1532,43,0.0,0.0,,0.0082161,Q3 2016,FINANCE,13F,09/30/2019,80.478
Beyond meat inc,BYND,"",175000.0,26009000.0,0.13765,,44,175000.0,,new,0.2907943,Q3 2019,CONSUMER STAPLES,13F,09/30/2019,148.62
Linx sa,LINX,"",3350000.0,25896000.0,0.137052,0.1654,45,0.0,0.0,,1.7686500,Q2 2019,INFORMATION TECHNOLOGY,13F,09/30/2019,9.12
Workday inc,WDAY,"",130000.0,22095000.0,0.116935,,46,130000.0,,new,0.0570175,Q3 2019,COMMUNICATIONS,13F,09/30/2019,169.96
Shopify inc,SHOP,"",70000.0,21816000.0,0.115459,0.1138,47,0.0,0.0,,0.0622056,Q2 2015,COMMUNICATIONS,13F,09/30/2019,33.95
Zto express cayman inc adr,ZTO,"",994400.0,21211000.0,0.112257,0.1029,48,0.0,0.0,,0.1960491,Q4 2016,INDUSTRIALS,13F,09/30/2019,12.07
Ipath series b s&p 500 vix short-term fu,VXX,"",881575.0,20929000.0,0.110764,0.1241,49,0.0,0.0,,No Data,Q1 2019,FINANCE,13F,09/30/2019,29.26
Chewy inc,CHWY,"",800000.0,19664000.0,0.104069,0.1516,50,0.0,0.0,,0.2007025,Q2 2019,CONSUMER DISCRETIONARY,13F,09/30/2019,35.0
Docusign inc,DOCU,"",300000.0,18576000.0,0.0983114,0.0807,51,0.0,0.0,,0.1704545,Q2 2018,INFORMATION TECHNOLOGY,13F,09/30/2019,52.95
Pure storage inc,PSTG,"",1000000.0,16940000.0,0.089653,0.0827,52,0.0,0.0,,0.3903505,Q4 2015,INFORMATION TECHNOLOGY,13F,09/30/2019,15.57
Redfin corp,RDFN,"",988992.0,16655000.0,0.0881447,0.1137,53,-178664.0,-15.301082,reduction,1.0769814,Q3 2017,REAL ESTATE,13F,09/30/2019,25.09
Iqiyi inc,IQ,"",1000000.0,16130000.0,0.0853662,0.1118,54,0.0,0.0,,0.1379082,Q1 2018,COMMUNICATIONS,13F,09/30/2019,15.55
Datadog inc,DDOG,"",450000.0,15260000.0,0.0807618,,55,450000.0,,new,0.1552634,Q3 2019, ,13F,09/30/2019,33.91
Crowdstrike holdings inc,CRWD,"",250000.0,14578000.0,0.0771524,0.0924,56,0.0,0.0,,0.1106439,Q2 2019,INFORMATION TECHNOLOGY,13F,09/30/2019,68.29
Fastly inc,FSLY,"",400000.0,9600000.0,0.0508069,0.0439,57,0.0,0.0,,0.4279448,Q2 2019,INFORMATION TECHNOLOGY,13F,09/30/2019,20.28
Dynatrace inc,DT,"",500000.0,9335000.0,0.0494044,,58,500000.0,,new,0.1782785,Q3 2019,INFORMATION TECHNOLOGY,13F,09/30/2019,18.67
Huya inc,HUYA,"",362000.0,8558000.0,0.0452922,0.0484,59,0.0,0.0,,0.1659409,Q2 2018,INFORMATION TECHNOLOGY,13F,09/30/2019,32.89
Ceridian hcm holding inc,CDAY,"",170000.0,8393000.0,0.044419,0.0462,60,0.0,0.0,,0.1187565,Q2 2018,INFORMATION TECHNOLOGY,13F,09/30/2019,33.19
Avalara inc,AVLR,"",100000.0,6729000.0,0.0356125,0.0391,61,0.0,0.0,,0.1324679,Q2 2018,INFORMATION TECHNOLOGY,13F,09/30/2019,53.37
Okta inc,OKTA,"",60000.0,5908000.0,0.0312674,0.0401,62,0.0,0.0,,0.0513919,Q2 2017,INFORMATION TECHNOLOGY,13F,09/30/2019,22.8
Livongo health inc,LVGO,"",250000.0,4360000.0,0.0230748,,63,250000.0,,new,0.2646903,Q3 2019, ,13F,09/30/2019,17.44
Farfetch ltd,FTCH,"",500000.0,4320000.0,0.0228631,0.0563,64,0.0,0.0,,0.1667445,Q3 2018,CONSUMER DISCRETIONARY,13F,09/30/2019,27.23
Pagerduty inc,PD,"",150000.0,4238000.0,0.0224291,0.0382,65,0.0,0.0,,0.1966182,Q2 2019,INFORMATION TECHNOLOGY,13F,09/30/2019,47.05
Rise education cayman ltd,REDU,"",500000.0,4185000.0,0.0221486,0.0258,66,0.0,0.0,,0.8807469,Q4 2017,CONSUMER DISCRETIONARY,13F,09/30/2019,14.79
